"delta_index2
References : ['S(2,1)']
Dependency : [delta_index2]
Num. Points : [96]
Matrix Size : scalar
Type : Real","delta_index1
References : ['S(2,1)']
Dependency : [delta_index2,delta_index1]
Num. Points : [96,96]
Matrix Size : scalar
Type : Real","freq
References : ['S(2,1)']
Dependency : [delta_index2,delta_index1,freq]
Num. Points : [96,96,1]
Matrix Size : scalar
Type : Real","S(2,1)
References : []
Dependency : [delta_index2,delta_index1,freq]
Num. Points : [96,96,1]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg"
0.000,0.000,28.00 GHz,0.391 / 5.565 
0.000,1.000,28.00 GHz,0.388 / 2.659 
0.000,2.000,28.00 GHz,0.384 / -0.035 
0.000,3.000,28.00 GHz,0.380 / -2.525 
0.000,4.000,28.00 GHz,0.375 / -4.843 
0.000,5.000,28.00 GHz,0.371 / -6.982 
0.000,6.000,28.00 GHz,0.366 / -8.973 
0.000,7.000,28.00 GHz,0.361 / -10.823 
0.000,8.000,28.00 GHz,0.357 / -12.567 
0.000,9.000,28.00 GHz,0.352 / -14.174 
0.000,10.000,28.00 GHz,0.348 / -15.681 
0.000,11.000,28.00 GHz,0.343 / -17.089 
0.000,12.000,28.00 GHz,0.339 / -18.416 
0.000,13.000,28.00 GHz,0.335 / -19.658 
0.000,14.000,28.00 GHz,0.331 / -20.830 
0.000,15.000,28.00 GHz,0.327 / -21.932 
0.000,16.000,28.00 GHz,0.332 / -23.477 
0.000,17.000,28.00 GHz,0.320 / -26.411 
0.000,18.000,28.00 GHz,0.307 / -29.113 
0.000,19.000,28.00 GHz,0.296 / -31.602 
0.000,20.000,28.00 GHz,0.284 / -33.920 
0.000,21.000,28.00 GHz,0.274 / -36.060 
0.000,22.000,28.00 GHz,0.263 / -38.058 
0.000,23.000,28.00 GHz,0.254 / -39.925 
0.000,24.000,28.00 GHz,0.244 / -41.700 
0.000,25.000,28.00 GHz,0.236 / -43.350 
0.000,26.000,28.00 GHz,0.228 / -44.912 
0.000,27.000,28.00 GHz,0.220 / -46.389 
0.000,28.000,28.00 GHz,0.213 / -47.798 
0.000,29.000,28.00 GHz,0.206 / -49.134 
0.000,30.000,28.00 GHz,0.199 / -50.410 
0.000,31.000,28.00 GHz,0.193 / -51.629 
0.000,32.000,28.00 GHz,0.197 / -53.374 
0.000,33.000,28.00 GHz,0.178 / -56.230 
0.000,34.000,28.00 GHz,0.160 / -58.917 
0.000,35.000,28.00 GHz,0.144 / -61.466 
0.000,36.000,28.00 GHz,0.129 / -63.938 
0.000,37.000,28.00 GHz,0.114 / -66.311 
0.000,38.000,28.00 GHz,0.101 / -68.642 
0.000,39.000,28.00 GHz,0.088 / -70.964 
0.000,40.000,28.00 GHz,0.076 / -73.359 
0.000,41.000,28.00 GHz,0.066 / -75.823 
0.000,42.000,28.00 GHz,0.055 / -78.475 
0.000,43.000,28.00 GHz,0.046 / -81.464 
0.000,44.000,28.00 GHz,0.037 / -85.066 
0.000,45.000,28.00 GHz,0.028 / -89.755 
0.000,46.000,28.00 GHz,0.021 / -96.686 
0.000,47.000,28.00 GHz,0.014 / -108.911 
0.000,48.000,28.00 GHz,0.019 / 116.804 
0.000,49.000,28.00 GHz,0.039 / 103.126 
0.000,50.000,28.00 GHz,0.058 / 97.172 
0.000,51.000,28.00 GHz,0.075 / 93.144 
0.000,52.000,28.00 GHz,0.090 / 89.981 
0.000,53.000,28.00 GHz,0.105 / 87.301 
0.000,54.000,28.00 GHz,0.118 / 84.955 
0.000,55.000,28.00 GHz,0.130 / 82.877 
0.000,56.000,28.00 GHz,0.141 / 80.981 
0.000,57.000,28.00 GHz,0.151 / 79.285 
0.000,58.000,28.00 GHz,0.160 / 77.724 
0.000,59.000,28.00 GHz,0.169 / 76.294 
0.000,60.000,28.00 GHz,0.177 / 74.967 
0.000,61.000,28.00 GHz,0.184 / 73.742 
0.000,62.000,28.00 GHz,0.191 / 72.595 
0.000,63.000,28.00 GHz,0.197 / 71.531 
0.000,64.000,28.00 GHz,0.199 / 70.761 
0.000,65.000,28.00 GHz,0.217 / 67.534 
0.000,66.000,28.00 GHz,0.233 / 64.581 
0.000,67.000,28.00 GHz,0.247 / 61.890 
0.000,68.000,28.00 GHz,0.260 / 59.430 
0.000,69.000,28.00 GHz,0.271 / 57.180 
0.000,70.000,28.00 GHz,0.281 / 55.110 
0.000,71.000,28.00 GHz,0.290 / 53.210 
0.000,72.000,28.00 GHz,0.298 / 51.436 
0.000,73.000,28.00 GHz,0.305 / 49.817 
0.000,74.000,28.00 GHz,0.312 / 48.309 
0.000,75.000,28.00 GHz,0.318 / 46.911 
0.000,76.000,28.00 GHz,0.323 / 45.602 
0.000,77.000,28.00 GHz,0.328 / 44.383 
0.000,78.000,28.00 GHz,0.333 / 43.236 
0.000,79.000,28.00 GHz,0.337 / 42.165 
0.000,80.000,28.00 GHz,0.349 / 41.957 
0.000,81.000,28.00 GHz,0.358 / 38.672 
0.000,82.000,28.00 GHz,0.365 / 35.671 
0.000,83.000,28.00 GHz,0.371 / 32.927 
0.000,84.000,28.00 GHz,0.376 / 30.399 
0.000,85.000,28.00 GHz,0.380 / 28.074 
0.000,86.000,28.00 GHz,0.383 / 25.918 
0.000,87.000,28.00 GHz,0.386 / 23.924 
0.000,88.000,28.00 GHz,0.388 / 22.050 
0.000,89.000,28.00 GHz,0.390 / 20.326 
0.000,90.000,28.00 GHz,0.392 / 18.712 
0.000,91.000,28.00 GHz,0.393 / 17.208 
0.000,92.000,28.00 GHz,0.393 / 15.795 
0.000,93.000,28.00 GHz,0.394 / 14.475 
0.000,94.000,28.00 GHz,0.394 / 13.232 
0.000,95.000,28.00 GHz,0.394 / 12.067 
1.000,0.000,28.00 GHz,0.391 / 2.305 
1.000,1.000,28.00 GHz,0.388 / -0.609 
1.000,2.000,28.00 GHz,0.386 / -3.311 
1.000,3.000,28.00 GHz,0.382 / -5.809 
1.000,4.000,28.00 GHz,0.379 / -8.133 
1.000,5.000,28.00 GHz,0.375 / -10.278 
1.000,6.000,28.00 GHz,0.371 / -12.274 
1.000,7.000,28.00 GHz,0.367 / -14.128 
1.000,8.000,28.00 GHz,0.363 / -15.875 
1.000,9.000,28.00 GHz,0.359 / -17.485 
1.000,10.000,28.00 GHz,0.355 / -18.993 
1.000,11.000,28.00 GHz,0.351 / -20.403 
1.000,12.000,28.00 GHz,0.347 / -21.731 
1.000,13.000,28.00 GHz,0.343 / -22.973 
1.000,14.000,28.00 GHz,0.340 / -24.144 
1.000,15.000,28.00 GHz,0.336 / -25.246 
1.000,16.000,28.00 GHz,0.341 / -26.768 
1.000,17.000,28.00 GHz,0.330 / -29.711 
1.000,18.000,28.00 GHz,0.318 / -32.424 
1.000,19.000,28.00 GHz,0.307 / -34.923 
1.000,20.000,28.00 GHz,0.297 / -37.250 
1.000,21.000,28.00 GHz,0.287 / -39.399 
1.000,22.000,28.00 GHz,0.277 / -41.404 
1.000,23.000,28.00 GHz,0.268 / -43.277 
1.000,24.000,28.00 GHz,0.259 / -45.055 
1.000,25.000,28.00 GHz,0.251 / -46.707 
1.000,26.000,28.00 GHz,0.243 / -48.269 
1.000,27.000,28.00 GHz,0.236 / -49.744 
1.000,28.000,28.00 GHz,0.229 / -51.149 
1.000,29.000,28.00 GHz,0.222 / -52.479 
1.000,30.000,28.00 GHz,0.215 / -53.748 
1.000,31.000,28.00 GHz,0.209 / -54.956 
1.000,32.000,28.00 GHz,0.214 / -56.586 
1.000,33.000,28.00 GHz,0.196 / -59.473 
1.000,34.000,28.00 GHz,0.179 / -62.187 
1.000,35.000,28.00 GHz,0.163 / -64.756 
1.000,36.000,28.00 GHz,0.148 / -67.235 
1.000,37.000,28.00 GHz,0.134 / -69.601 
1.000,38.000,28.00 GHz,0.120 / -71.902 
1.000,39.000,28.00 GHz,0.108 / -74.160 
1.000,40.000,28.00 GHz,0.096 / -76.433 
1.000,41.000,28.00 GHz,0.086 / -78.692 
1.000,42.000,28.00 GHz,0.075 / -81.005 
1.000,43.000,28.00 GHz,0.066 / -83.423 
1.000,44.000,28.00 GHz,0.057 / -86.030 
1.000,45.000,28.00 GHz,0.049 / -88.910 
1.000,46.000,28.00 GHz,0.041 / -92.239 
1.000,47.000,28.00 GHz,0.033 / -96.300 
1.000,48.000,28.00 GHz,0.008 / -157.129 
1.000,49.000,28.00 GHz,0.019 / 114.033 
1.000,50.000,28.00 GHz,0.038 / 99.415 
1.000,51.000,28.00 GHz,0.055 / 93.082 
1.000,52.000,28.00 GHz,0.070 / 88.946 
1.000,53.000,28.00 GHz,0.085 / 85.748 
1.000,54.000,28.00 GHz,0.098 / 83.089 
1.000,55.000,28.00 GHz,0.110 / 80.807 
1.000,56.000,28.00 GHz,0.121 / 78.767 
1.000,57.000,28.00 GHz,0.132 / 76.968 
1.000,58.000,28.00 GHz,0.141 / 75.330 
1.000,59.000,28.00 GHz,0.150 / 73.840 
1.000,60.000,28.00 GHz,0.158 / 72.464 
1.000,61.000,28.00 GHz,0.166 / 71.200 
1.000,62.000,28.00 GHz,0.172 / 70.020 
1.000,63.000,28.00 GHz,0.179 / 68.929 
1.000,64.000,28.00 GHz,0.181 / 68.225 
1.000,65.000,28.00 GHz,0.199 / 64.886 
1.000,66.000,28.00 GHz,0.216 / 61.850 
1.000,67.000,28.00 GHz,0.230 / 59.097 
1.000,68.000,28.00 GHz,0.243 / 56.589 
1.000,69.000,28.00 GHz,0.255 / 54.301 
